"Reporting starts","Reporting ends","Campaign name",Age,Gender,"Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (VND)",Impressions,Reach,Ends,"Attribution setting","Total messaging contacts","New messaging contacts","Purchases conversion value","Purchase ROAS (return on ad spend)","Cost per new messaging contact (VND)","Messaging conversations started","Cost per messaging conversation started (VND)","Clicks (all)"
2026-03-01,2026-04-01,aaaaamaaanhhh,18-24,unknown,active,1,actions:onsite_conversion.lead_grouped,94549,320000,Daily,94549,1185,508,Ongoing,"7-day click or 1-day view",,,,,,,,15
2026-03-01,2026-04-01,aaaaamaaanhhh,25-34,female,active,12,actions:onsite_conversion.lead_grouped,107563.16666667,320000,Daily,1290758,11320,4791,Ongoing,"7-day click or 1-day view",22,21,,,61464.666667,21,61464.666667,290
2026-03-01,2026-04-01,aaaaamaaanhhh,25-34,male,active,8,actions:onsite_conversion.lead_grouped,213250.875,320000,Daily,1706007,24709,9446,Ongoing,"7-day click or 1-day view",18,16,,,106625.4375,17,100353.352941,574
2026-03-01,2026-04-01,aaaaamaaanhhh,25-34,unknown,active,,,,320000,Daily,36199,421,160,Ongoing,"7-day click or 1-day view",1,1,,,36199,1,36199,10
2026-03-01,2026-04-01,aaaaamaaanhhh,35-44,female,active,3,actions:onsite_conversion.lead_grouped,86973,320000,Daily,260919,1723,767,Ongoing,"7-day click or 1-day view",6,3,,,86973,5,52183.8,75
2026-03-01,2026-04-01,aaaaamaaanhhh,35-44,male,active,2,actions:onsite_conversion.lead_grouped,144134,320000,Daily,288268,3395,1444,Ongoing,"7-day click or 1-day view",5,5,,,57653.6,5,57653.6,117
2026-03-01,2026-04-01,aaaaamaaanhhh,35-44,unknown,active,,,,320000,Daily,4814,20,15,Ongoing,"7-day click or 1-day view",,,,,,,,2
2026-03-01,2026-04-01,aaaaamaaanhhh,45-54,female,active,2,actions:onsite_conversion.lead_grouped,37791,320000,Daily,75582,493,240,Ongoing,"7-day click or 1-day view",2,2,,,37791,2,37791,17
2026-03-01,2026-04-01,aaaaamaaanhhh,45-54,male,active,1,actions:onsite_conversion.lead_grouped,69715,320000,Daily,69715,685,331,Ongoing,"7-day click or 1-day view",1,1,,,69715,1,69715,22
2026-03-01,2026-04-01,aaaaamaaanhhh,45-54,unknown,active,,,,320000,Daily,701,9,5,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-03-01,2026-04-01,aaaaamaaanhhh,55-64,female,active,,,,320000,Daily,23805,151,62,Ongoing,"7-day click or 1-day view",,,,,,,,6
2026-03-01,2026-04-01,aaaaamaaanhhh,55-64,male,active,,,,320000,Daily,12428,116,63,Ongoing,"7-day click or 1-day view",,,,,,,,2
2026-03-01,2026-04-01,aaaaamaaanhhh,65+,female,active,,,,320000,Daily,7641,78,28,Ongoing,"7-day click or 1-day view",,,,,,,,6
2026-03-01,2026-04-01,aaaaamaaanhhh,65+,male,active,,,,320000,Daily,11572,233,88,Ongoing,"7-day click or 1-day view",,,,,,,,2
2026-03-01,2026-04-01,aaaaamaaanhhh,65+,unknown,active,,,,320000,Daily,135,3,2,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-03-01,2026-04-01,llinhhai,18-24,female,active,11,actions:onsite_conversion.lead_grouped,141987.63636364,230000,Daily,1561864,16313,10437,Ongoing,"7-day click or 1-day view",26,21,,,74374.47619,22,70993.818182,317
2026-03-01,2026-04-01,llinhhai,18-24,male,active,13,actions:onsite_conversion.lead_grouped,136458.61538462,230000,Daily,1773962,30892,19088,Ongoing,"7-day click or 1-day view",25,23,,,77128.782609,25,70958.48,1090
2026-03-01,2026-04-01,llinhhai,18-24,unknown,active,,,,230000,Daily,48574,613,404,Ongoing,"7-day click or 1-day view",2,1,,,48574,1,48574,11
